task_id,task,framework,fold,task_type,type,acc,auc,logloss,score
3917,kc1,AutoCompBoost Deep not tuned,10,binary,auc,0.838095238095238,0.749824438202247,,0.749824438202247
7592,adult,AutoCompBoost Deep not tuned,1,binary,auc,0.851177072671443,0.907801304971174,,0.907801304971174
7592,adult,AutoCompBoost Deep not tuned,2,binary,auc,0.85568065506653,0.904302229003472,,0.904302229003472
7592,adult,AutoCompBoost Deep not tuned,3,binary,auc,0.861998361998362,0.915359764144683,,0.915359764144683
7592,adult,AutoCompBoost Deep not tuned,4,binary,auc,0.857289107289107,0.910117715690756,,0.910117715690756
7592,adult,AutoCompBoost Deep not tuned,5,binary,auc,0.856060606060606,0.909041980624327,,0.909041980624327
7592,adult,AutoCompBoost Deep not tuned,6,binary,auc,0.853194103194103,0.905560768484181,,0.905560768484181
7592,adult,AutoCompBoost Deep not tuned,7,binary,auc,0.852579852579853,0.910597570481034,,0.910597570481034
7592,adult,AutoCompBoost Deep not tuned,8,binary,auc,0.857493857493857,0.911624319137154,,0.911624319137154
7592,adult,AutoCompBoost Deep not tuned,9,binary,auc,0.857084357084357,0.91921843680453,,0.91921843680453
7592,adult,AutoCompBoost Deep not tuned,10,binary,auc,0.866298116298116,0.918983912582449,,0.918983912582449
9952,phoneme,AutoCompBoost Deep not tuned,1,binary,auc,0.850277264325323,0.913629029602555,,0.913629029602555
9952,phoneme,AutoCompBoost Deep not tuned,2,binary,auc,0.878003696857671,0.928808982844348,,0.928808982844348
9952,phoneme,AutoCompBoost Deep not tuned,3,binary,auc,0.852125693160813,0.912986927458922,,0.912986927458922
9952,phoneme,AutoCompBoost Deep not tuned,4,binary,auc,0.835489833641405,0.912937534986335,,0.912937534986335
9952,phoneme,AutoCompBoost Deep not tuned,5,binary,auc,0.844444444444445,0.9059414142753,,0.9059414142753
9952,phoneme,AutoCompBoost Deep not tuned,6,binary,auc,0.868518518518519,0.926502750347936,,0.926502750347936
9952,phoneme,AutoCompBoost Deep not tuned,7,binary,auc,0.868518518518519,0.93069454569554,,0.93069454569554
9952,phoneme,AutoCompBoost Deep not tuned,8,binary,auc,0.855555555555556,0.928325270064285,,0.928325270064285
9952,phoneme,AutoCompBoost Deep not tuned,9,binary,auc,0.835185185185185,0.919807193912082,,0.919807193912082
9952,phoneme,AutoCompBoost Deep not tuned,10,binary,auc,0.859259259259259,0.920252892916687,,0.920252892916687
9977,nomao,AutoCompBoost Deep not tuned,1,binary,auc,0.954453147664636,0.987190088100637,,0.987190088100637
9977,nomao,AutoCompBoost Deep not tuned,2,binary,auc,0.951552074267479,0.98936236892131,,0.98936236892131
9977,nomao,AutoCompBoost Deep not tuned,3,binary,auc,0.948070786190891,0.986682240100286,,0.986682240100286
9977,nomao,AutoCompBoost Deep not tuned,4,binary,auc,0.952712503626342,0.988759912085012,,0.988759912085012
9977,nomao,AutoCompBoost Deep not tuned,5,binary,auc,0.946330142152597,0.988333944999526,,0.988333944999526
9977,nomao,AutoCompBoost Deep not tuned,6,binary,auc,0.955020313406849,0.989720582116463,,0.989720582116463
9977,nomao,AutoCompBoost Deep not tuned,7,binary,auc,0.953569355774811,0.988746425339964,,0.988746425339964
9977,nomao,AutoCompBoost Deep not tuned,8,binary,auc,0.952988972721996,0.99116159114475,,0.99116159114475
9977,nomao,AutoCompBoost Deep not tuned,9,binary,auc,0.943122460824144,0.984194719079604,,0.984194719079604
9977,nomao,AutoCompBoost Deep not tuned,10,binary,auc,0.947475333720255,0.987302114085316,,0.987302114085316
10101,blood-transfusion-service-center,AutoCompBoost Deep not tuned,1,binary,auc,0.733333333333333,0.744152046783626,,0.744152046783626
10101,blood-transfusion-service-center,AutoCompBoost Deep not tuned,2,binary,auc,0.773333333333333,0.880604288499026,,0.880604288499026
10101,blood-transfusion-service-center,AutoCompBoost Deep not tuned,3,binary,auc,0.72,0.694931773879142,,0.694931773879142
10101,blood-transfusion-service-center,AutoCompBoost Deep not tuned,4,binary,auc,0.8,0.662280701754386,,0.662280701754386
10101,blood-transfusion-service-center,AutoCompBoost Deep not tuned,5,binary,auc,0.76,0.779727095516569,,0.779727095516569
10101,blood-transfusion-service-center,AutoCompBoost Deep not tuned,6,binary,auc,0.773333333333333,0.706140350877193,,0.706140350877193
10101,blood-transfusion-service-center,AutoCompBoost Deep not tuned,7,binary,auc,0.773333333333333,0.787037037037037,,0.787037037037037
10101,blood-transfusion-service-center,AutoCompBoost Deep not tuned,8,binary,auc,0.786666666666667,0.764619883040936,,0.764619883040936
10101,blood-transfusion-service-center,AutoCompBoost Deep not tuned,9,binary,auc,0.77027027027027,0.722910216718266,,0.722910216718266
